company,date,close,volume
BABA,2014-09-15,93.889999,271879400
BABA,2014-09-22,90.459999,184693600
BABA,2014-09-29,88.099998,113706400
BABA,2014-10-06,85.879997,69251100
BABA,2014-10-13,87.910004,79821200
BABA,2014-10-20,95.760002,106273300
BABA,2014-10-27,98.599998,122698300
BABA,2014-11-03,114.559998,242107700
BABA,2014-11-10,115.099998,292874600
BABA,2014-11-17,110.730003,174433000
BABA,2014-11-24,111.639999,64003500
BABA,2014-12-01,107.900002,96397700
BABA,2014-12-08,105.110001,92772700
BABA,2014-12-15,110.650002,93179400
BABA,2014-12-22,105.949997,44537000
BABA,2014-12-29,103.599998,40799300
BABA,2015-01-05,103.019997,68273900
BABA,2015-01-12,96.889999,68687600
BABA,2015-01-19,103.110001,48599300
BABA,2015-01-26,89.080002,181837800
BABA,2015-02-02,85.68,93579500
BABA,2015-02-09,89.050003,66387700
BABA,2015-02-16,86.639999,38039800
BABA,2015-02-23,85.120003,56000500
BABA,2015-03-02,84.400002,116255200
BABA,2015-03-09,81.860001,68097500
BABA,2015-03-16,85.199997,121843900
BABA,2015-03-23,84.580002,61148100
BABA,2015-03-30,82.279999,56598000
BABA,2015-04-06,84.580002,94515700
BABA,2015-04-13,81.900002,74682300
BABA,2015-04-20,84.57,69385600
BABA,2015-04-27,81.169998,81762900
BABA,2015-05-04,87.059998,178756300
BABA,2015-05-11,88.459999,80383100
BABA,2015-05-18,93.269997,126942900
BABA,2015-05-25,89.32,53300400
BABA,2015-06-01,90.709999,49242100
BABA,2015-06-08,86.629997,67929400
BABA,2015-06-15,85.739998,53500300
BABA,2015-06-22,83.279999,49618200
BABA,2015-06-29,82.07,40461400
BABA,2015-07-06,80.300003,99804000
BABA,2015-07-13,83.360001,50493900
BABA,2015-07-20,83.019997,41298200
BABA,2015-07-27,78.339996,51107300
BABA,2015-08-03,78.82,43317400
BABA,2015-08-10,74.760002,110944500
BABA,2015-08-17,68.18,92136100
BABA,2015-08-24,70.07,116442400
BABA,2015-08-31,63.91,89306700
BABA,2015-09-07,64.629997,114504900
BABA,2015-09-14,65.75,118321200
BABA,2015-09-21,59.240002,97592400
BABA,2015-09-28,63.200001,84703700
BABA,2015-10-05,68.709999,72404900
BABA,2015-10-12,71.989998,75044500
BABA,2015-10-19,75.620003,72102700
BABA,2015-10-26,83.830002,137834800
BABA,2015-11-02,83.610001,108385400
BABA,2015-11-09,75.849998,113807800
BABA,2015-11-16,79.949997,82970800
BABA,2015-11-23,81.379997,62980800
BABA,2015-11-30,84.849998,199345300
BABA,2015-12-07,79.739998,79730400
BABA,2015-12-14,82.650002,66879800
BABA,2015-12-21,83.709999,35886600
BABA,2015-12-28,81.269997,29990900
BABA,2016-01-04,70.800003,96997200
BABA,2016-01-11,69.589996,81339700
BABA,2016-01-18,70.370003,69297300
BABA,2016-01-25,67.029999,103273500
BABA,2016-02-01,62.639999,103037500
BABA,2016-02-08,60.889999,66572900
BABA,2016-02-15,67.279999,63075200
BABA,2016-02-22,66.910004,63887700
BABA,2016-02-29,72.220001,64854900
BABA,2016-03-07,74.010002,49665700
BABA,2016-03-14,76.25,49918700
BABA,2016-03-21,75.860001,44281900
BABA,2016-03-28,78.730003,49893800
BABA,2016-04-04,77.470001,47832200
BABA,2016-04-11,78.970001,53483400
BABA,2016-04-18,79.889999,54889200
BABA,2016-04-25,76.940002,50416400
BABA,2016-05-02,79.199997,70876900
BABA,2016-05-09,77.160004,51057400
BABA,2016-05-16,78.790001,51078900
BABA,2016-05-23,80.970001,125023300
BABA,2016-05-30,76.620003,210458100
BABA,2016-06-06,75.919998,63073700
BABA,2016-06-13,77,77547800
BABA,2016-06-20,76.290001,53182600
BABA,2016-06-27,79.650002,57614100
BABA,2016-07-04,78.989998,35431100
BABA,2016-07-11,81.25,61732200
BABA,2016-07-18,84.489998,52055900
BABA,2016-07-25,82.480003,48715400
BABA,2016-08-01,84.589996,46591900
BABA,2016-08-08,98.25,181210800
BABA,2016-08-15,96.860001,105584400
BABA,2016-08-22,95.059998,65770100
BABA,2016-08-29,99.25,82299500
BABA,2016-09-05,99.620003,85288500
BABA,2016-09-12,104.639999,98087200
BABA,2016-09-19,107.709999,109806200
BABA,2016-09-26,105.790001,96547800
BABA,2016-10-03,106,53934800
BABA,2016-10-10,101.849998,80047700
BABA,2016-10-17,103.940002,45560700
BABA,2016-10-24,101.93,44750900
BABA,2016-10-31,97.57,100526200
BABA,2016-11-07,92.989998,91309900
BABA,2016-11-14,93.389999,78571700
BABA,2016-11-21,93.010002,35953800
BABA,2016-11-28,90.480003,75684200
BABA,2016-12-05,93.279999,50027500
BABA,2016-12-12,88.669998,59557900
BABA,2016-12-19,86.790001,48454400
BABA,2016-12-26,87.809998,24327300
BABA,2017-01-02,93.889999,44740900
BABA,2017-01-09,96.269997,53471800
BABA,2017-01-16,96.059998,29728900
BABA,2017-01-23,102.07,95130400
BABA,2017-01-30,100.389999,33455400
BABA,2017-02-06,102.360001,38816900
BABA,2017-02-13,100.519997,48076300
BABA,2017-02-20,102.949997,41421200
BABA,2017-02-27,103.309998,39519100
BABA,2017-03-06,103.389999,26986900
BABA,2017-03-13,105.610001,56786600
BABA,2017-03-20,108.040001,54467800
BABA,2017-03-27,107.830002,42565400
BABA,2017-04-03,108.989998,36642900
BABA,2017-04-10,110.209999,39767500
BABA,2017-04-17,113.110001,47778800
BABA,2017-04-24,115.5,47926400
BABA,2017-05-01,116.040001,42048600
BABA,2017-05-08,120.339996,52228500
BABA,2017-05-15,123.220001,107405900
BABA,2017-05-22,123.989998,56280200
BABA,2017-05-29,124.129997,36169100
BABA,2017-06-05,139.440002,164468200
BABA,2017-06-12,134.869995,172860900
BABA,2017-06-19,143.009995,110100300
BABA,2017-06-26,140.899994,89369700
BABA,2017-07-03,142.429993,43951900
BABA,2017-07-10,151.830002,61980000
BABA,2017-07-17,151.889999,75744300
BABA,2017-07-24,157.559998,74083600
BABA,2017-07-31,153.330002,71818000
BABA,2017-08-07,151.699997,84002400
BABA,2017-08-14,167.5,142888600
BABA,2017-08-21,171.740005,113753100
BABA,2017-08-28,171.039993,89626600
BABA,2017-09-04,169,62419100
BABA,2017-09-11,176.699997,105343600
BABA,2017-09-18,178.139999,80396900
BABA,2017-09-25,172.710007,104532900
BABA,2017-10-02,179.199997,61343200
BABA,2017-10-09,178.449997,73736200
BABA,2017-10-16,177.320007,80216800
BABA,2017-10-23,176.149994,80906300
BABA,2017-10-30,183.210007,131008300
BABA,2017-11-06,186.410004,86385300
BABA,2017-11-13,185.130005,79993600
BABA,2017-11-20,191.190002,69936700
BABA,2017-11-27,174.610001,121168400
BABA,2017-12-04,177.619995,130644100
BABA,2017-12-11,173.550003,131122800
BABA,2017-12-18,176.289993,85418000
BABA,2017-12-25,172.429993,42278800
BABA,2018-01-01,190.699997,87680900
BABA,2018-01-08,187.789993,77859000
BABA,2018-01-15,184.050003,78315000
BABA,2018-01-22,205.220001,129009700
BABA,2018-01-29,187.309998,157131400
BABA,2018-02-05,176.669998,146661400
BABA,2018-02-12,183.679993,85204200
BABA,2018-02-19,193.289993,66146600
BABA,2018-02-26,179.759995,98244600
BABA,2018-03-05,190.550003,75781500
BABA,2018-03-12,200.279999,113138500
BABA,2018-03-19,181.199997,87750800
BABA,2018-03-26,183.539993,69846600
BABA,2018-04-02,167.520004,97038300
BABA,2018-04-09,172.039993,69984100
BABA,2018-04-16,179.110001,69596800
BABA,2018-04-23,177.160004,72194800
BABA,2018-04-30,188.889999,130169400
BABA,2018-05-07,194.360001,99535200
BABA,2018-05-14,195,70922300
BABA,2018-05-21,199.199997,76135700
BABA,2018-05-28,204.339996,73813700
BABA,2018-06-04,205.070007,95218200
BABA,2018-06-11,208,89320400
BABA,2018-06-18,202.009995,78237800
BABA,2018-06-25,185.529999,122955500
BABA,2018-07-02,192.270004,64447300
BABA,2018-07-09,190.039993,74015700
BABA,2018-07-16,187.25,62453500
BABA,2018-07-23,189.419998,83939000
BABA,2018-07-30,180.839996,90455200
BABA,2018-08-06,180.009995,134461800
BABA,2018-08-13,172.779999,153419900
BABA,2018-08-20,174.229996,182662800
BABA,2018-08-27,175.009995,81562400
BABA,2018-09-03,162.369995,111649600
BABA,2018-09-10,164.740005,146581500
BABA,2018-09-17,164.630005,115592100
BABA,2018-09-24,164.759995,59480300
BABA,2018-10-01,154.630005,90911600
BABA,2018-10-08,147.289993,185934100
BABA,2018-10-15,142.929993,89279400
BABA,2018-10-22,142.869995,94184100
BABA,2018-10-29,147.589996,177031400
BABA,2018-11-05,144.850006,85218600
BABA,2018-11-12,154.100006,108000500
BABA,2018-11-19,150.330002,59717100
BABA,2018-11-26,160.860001,110435000
BABA,2018-12-03,153.059998,96156000
BABA,2018-12-10,149,73613100
BABA,2018-12-17,132,114186900
BABA,2018-12-24,139.089996,49515800
